name,year,house,link
Jenna Friedel,Sophomore,Quincy,http://www.gocrimson.com/sports/wten/2017-18/bios/friedel_jenna_56v6
Natasha Gonzalez,Sophomore,,http://www.gocrimson.com/sports/wten/2017-18/bios/gonzalez_natasha_u0mf
Neha Gupta,Freshman,,http://www.gocrimson.com/sports/wten/2017-18/bios/gupta_neha_t37h
Isabel Jasper,Junior,Kirkland,http://www.gocrimson.com/sports/wten/2017-18/bios/jasper_isabel_9zf2
Lia Kiam,Freshman,,http://www.gocrimson.com/sports/wten/2017-18/bios/kiam_lia_rrff
Anna Li,Freshman,,http://www.gocrimson.com/sports/wten/2017-18/bios/anna_li_5phd
Irene Lu,Sophomore,Leverett,http://www.gocrimson.com/sports/wten/2017-18/bios/lu_irene_glke
Lexi Milunovich,Sophomore,,http://www.gocrimson.com/sports/wten/2017-18/bios/milunovich_lexi_kzzh
Jenna Moustafa,Freshman,,http://www.gocrimson.com/sports/wten/2017-18/bios/moustafa_jenna_4tze
Erica Oosterhout,Junior,Quincy,http://www.gocrimson.com/sports/wten/2017-18/bios/oosterhout_erica_7for
Annika Ringblom,Senior,Adams,http://www.gocrimson.com/sports/wten/2017-18/bios/ringblom_annika_rw8n
